#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RP20_CCG007750	RP20_CCG021504	7160.A0A182GCX7	7160.A0A182H4G7	0.049	0	0	0	0.129	0.128	0.262	0.201	0.496
RP20_CCG007750	RP20_CCG008406	7160.A0A182GCX7	7160.A0A182GE86	0	0	0	0	0.068	0.324	0.280	0	0.506
RP20_CCG007750	RP20_CCG019292	7160.A0A182GCX7	7160.A0A182H0K9	0	0	0	0	0.042	0.512	0	0	0.512
RP20_CCG007750	RP20_CCG015580	7160.A0A182GCX7	7160.A0A182GTN3	0	0	0	0	0.070	0	0.401	0.260	0.551
RP20_CCG007750	RP20_CCG025859	7160.A0A182GCX7	7160.A0A182HBD0	0	0	0	0	0.045	0.337	0.385	0.101	0.603
RP20_CCG008046	RP20_CCG025494	7160.A0A182GDI3	7160.A0A023EPY3	0.254	0	0	0	0	0.129	0	0.270	0.484
RP20_CCG008046	RP20_CCG023780	7160.A0A182GDI3	7160.A0A182H841	0.280	0	0	0	0	0	0	0.221	0.415
RP20_CCG008086	RP20_CCG021176	7160.A0A182GDL6	7160.A0A182H3V6	0	0.002	0.418	0	0	0	0	0	0.418
RP20_CCG008130	RP20_CCG014756	7160.A0A182GDP6	7160.A0A023EQ67	0.065	0	0	0	0	0.500	0	0.173	0.579
RP20_CCG008130	RP20_CCG022027	7160.A0A182GDP6	7160.A0A182H5B7	0.113	0	0	0	0.129	0	0	0.293	0.406
RP20_CCG008130	RP20_CCG026429	7160.A0A182GDP6	7160.A0A182HC90	0	0	0	0	0	0.114	0.419	0.235	0.571
RP20_CCG008130	RP20_CCG008319	7160.A0A182GDP6	7160.A0A182GE26	0	0	0	0	0	0.543	0	0.287	0.660
RP20_CCG008228	RP20_CCG025494	7160.A0A182GDW5	7160.A0A023EPY3	0.090	0	0	0	0.043	0	0	0.594	0.615
