"X.node","identifier","uniprot_id","id","protein_name","node_degree"
"RP20_CCG004387","7160.A0A182G737","A0A182G737","aalb:109398008","IPO4",0
"RP20_CCG004462","7160.A0A182G786","A0A182G786","aalb:109414833","A0A182G786",1
"RP20_CCG004464","7160.A0A182G788","A0A182G788","aalb:109418062","A0A182G788",2
"RP20_CCG004560","7160.A0A182G7D1","A0A182G7D1","aalb:109412691","A0A182G7D1",1
"RP20_CCG004573","7160.A0A182G7E3","A0A182G7E3","aalb:109417672","A0A182G7E3",0
"RP20_CCG004593","7160.A0A182G7F0","A0A182G7F0","aalb:109425434","RAD50",7
"RP20_CCG004603","7160.A0A182G7F5","A0A182G7F5","aalb:109406857","A0A182G7F5",3
"RP20_CCG004756","7160.A0A182G7Q9","A0A182G7Q9","aalb:109428499","A0A182G7Q9",0
"RP20_CCG004768","7160.A0A182G7R3","A0A182G7R3","aalb:109403576","A0A182G7R3",1
"RP20_CCG004770","7160.A0A182G7R5","A0A182G7R5","aalb:109412129","A0A182G7R5",1
"RP20_CCG005310","7160.A0A182GE93","A0A182GE93","aalb:109423725","SIK3",0
"RP20_CCG005408","7160.A0A182G8X1","A0A182G8X1","aalb:115258651","A0A182G8X1",0
"RP20_CCG005533","7160.A0A182G944","A0A182G944","aalb:109429459","A0A182G944",0
"RP20_CCG005712","7160.A0A182G9F1","A0A182G9F1","aalb:109402136","A0A182G9F1",0
"RP20_CCG005741","7160.A0A182G9G7","A0A182G9G7","aalb:109413923","A0A182G9G7",4
"RP20_CCG005764","7160.A0A182G9I6","A0A182G9I6","aalb:109623256","A0A182G9I6",0
"RP20_CCG005983","7160.A0A182G9V4","A0A182G9V4","aalb:115263745","A0A182G9V4",0
"RP20_CCG006076","7160.A0A182GA07","A0A182GA07","aalb:109623329","A0A182GA07",0
"RP20_CCG006215","7160.A0A182GA81","A0A182GA81","aalb:109432153","A0A182GA81",1
"RP20_CCG006378","7160.A0A182GAI3","A0A182GAI3","aalb:109416972","A0A182GAI3",0
"RP20_CCG006404","7160.A0A182GAK2","A0A182GAK2","aalb:109422088","A0A182GAK2",1
"RP20_CCG006622","7160.A0A182GAX4","A0A182GAX4","aalb:109410615","CCDC22",1
"RP20_CCG006713","7160.A0A182GB21","A0A182GB21","aalb:109622565","A0A182GB21",1
"RP20_CCG006898","7160.A0A182GBE1","A0A182GBE1","aalb:109414263","A0A182GBE1",0
