"uniprot_id","mirna/enriched_term"
"Q16IN4","aae-mir-34-5p"
"Q16IN4","Anatomical structure development"
"Q16IW8","aae-mir-34-5p"
"Q16IW8","Anatomical structure development"
"Q16JC3","aae-mir-34-5p"
"Q16JC3","Anatomical structure development"
"Q16JN7","aae-mir-34-5p"
"Q16JN7","Anatomical structure development"
"Q16KQ8","aae-mir-34-5p"
"Q16KQ8","Anatomical structure development"
"Q16KQ9","aae-mir-34-5p"
"Q16KQ9","Anatomical structure development"
"Q16KR0","aae-mir-34-5p"
"Q16KR0","Anatomical structure development"
"Q16KR1","aae-mir-34-5p"
"Q16KR1","Anatomical structure development"
"Q16L96","aae-mir-34-5p"
"Q16L96","Anatomical structure development"
"Q16LK0","aae-mir-34-5p"
"Q16LK0","Anatomical structure development"
"Q16LS6","aae-mir-34-5p"
"Q16LS6","Anatomical structure development"
"Q16LX7","aae-mir-34-5p"
"Q16LX7","Anatomical structure development"
"Q16M45","aae-mir-34-5p"
"Q16M45","Anatomical structure development"
"Q16MK4","aae-mir-34-5p"
"Q16MK4","Anatomical structure development"
"Q16N83","aae-mir-34-5p"
"Q16N83","Anatomical structure development"
"Q16N85","aae-mir-34-5p"
"Q16N85","Anatomical structure development"
"Q16NB0","aae-mir-34-5p"
"Q16NB0","Anatomical structure development"
"Q16NC7","aae-mir-34-5p"
"Q16NC7","Anatomical structure development"
"Q16PP6","aae-mir-34-5p"
"Q16PP6","Anatomical structure development"
"Q16PT5","aae-mir-34-5p"
"Q16PT5","Anatomical structure development"
"Q16R23","aae-mir-34-5p"
"Q16R23","Anatomical structure development"
"Q16R65","aae-mir-34-5p"
"Q16R65","Anatomical structure development"
"Q16R88","aae-mir-34-5p"
"Q16R88","Anatomical structure development"
"Q16RM1","aae-mir-34-5p"
"Q16RM1","Anatomical structure development"
"Q16RU6","aae-mir-34-5p"
"Q16RU6","Anatomical structure development"
"Q16S36","aae-mir-34-5p"
"Q16S36","Anatomical structure development"
"Q16SB0","aae-mir-34-5p"
"Q16SB0","Anatomical structure development"
"Q16SL7","aae-mir-34-5p"
"Q16SL7","Anatomical structure development"
"Q16TM2","aae-mir-34-5p"
"Q16TM2","Anatomical structure development"
"Q16TR7","aae-mir-34-5p"
"Q16TR7","Anatomical structure development"
"Q16U10","aae-mir-34-5p"
"Q16U10","Anatomical structure development"
"Q16U87","aae-mir-34-5p"
"Q16U87","Anatomical structure development"
"Q16U90","aae-mir-34-5p"
"Q16U90","Anatomical structure development"
"Q16VM1","aae-mir-34-5p"
"Q16VM1","Anatomical structure development"
"Q16VP6","aae-mir-34-5p"
"Q16VP6","Anatomical structure development"
"Q16W03","aae-mir-34-5p"
"Q16W03","Anatomical structure development"
"Q16WF1","aae-mir-34-5p"
"Q16WF1","Anatomical structure development"
"Q16WM1","aae-mir-34-5p"
"Q16WM1","Anatomical structure development"
"Q16XA3","aae-mir-34-5p"
"Q16XA3","Anatomical structure development"
"Q16XT3","aae-mir-34-5p"
"Q16XT3","Anatomical structure development"
"Q16YG3","aae-mir-34-5p"
"Q16YG3","Anatomical structure development"
"Q16YG5","aae-mir-34-5p"
"Q16YG5","Anatomical structure development"
"Q16YG8","aae-mir-34-5p"
"Q16YG8","Anatomical structure development"
"Q16YZ8","aae-mir-34-5p"
"Q16YZ8","Anatomical structure development"
"Q16YZ9","aae-mir-34-5p"
"Q16YZ9","Anatomical structure development"
"Q16Z01","aae-mir-34-5p"
"Q16Z01","Anatomical structure development"
"Q16ZB6","aae-mir-34-5p"
"Q16ZB6","Anatomical structure development"
"Q170K4","aae-mir-34-5p"
"Q170K4","Anatomical structure development"
"Q170K8","aae-mir-34-5p"
"Q170K8","Anatomical structure development"
"Q170V1","aae-mir-34-5p"
"Q170V1","Anatomical structure development"
"Q171J8","aae-mir-34-5p"
"Q171J8","Anatomical structure development"
"Q172A6","aae-mir-34-5p"
"Q172A6","Anatomical structure development"
"Q172L3","aae-mir-34-5p"
"Q172L3","Anatomical structure development"
"Q173B0","aae-mir-34-5p"
"Q173B0","Anatomical structure development"
"Q174K3","aae-mir-34-5p"
"Q174K3","Anatomical structure development"
"Q174R8","aae-mir-34-5p"
"Q174R8","Anatomical structure development"
"Q174R9","aae-mir-34-5p"
"Q174R9","Anatomical structure development"
"Q174W8","aae-mir-34-5p"
"Q174W8","Anatomical structure development"
"Q177R3","aae-mir-34-5p"
"Q177R3","Anatomical structure development"
"Q178N5","aae-mir-34-5p"
"Q178N5","Anatomical structure development"
"Q178X8","aae-mir-34-5p"
"Q178X8","Anatomical structure development"
"Q17A00","aae-mir-34-5p"
"Q17A00","Anatomical structure development"
"Q17BK4","aae-mir-34-5p"
"Q17BK4","Anatomical structure development"
"Q17BN5","aae-mir-34-5p"
"Q17BN5","Anatomical structure development"
"Q17BY7","aae-mir-34-5p"
"Q17BY7","Anatomical structure development"
"Q17C29","aae-mir-34-5p"
"Q17C29","Anatomical structure development"
"Q17C39","aae-mir-34-5p"
"Q17C39","Anatomical structure development"
"Q17C93","aae-mir-34-5p"
"Q17C93","Anatomical structure development"
"Q17CG1","aae-mir-34-5p"
"Q17CG1","Anatomical structure development"
"Q17D24","aae-mir-34-5p"
"Q17D24","Anatomical structure development"
"Q17DB6","aae-mir-34-5p"
"Q17DB6","Anatomical structure development"
"Q17DL2","aae-mir-34-5p"
"Q17DL2","Anatomical structure development"
"Q17DM5","aae-mir-34-5p"
"Q17DM5","Anatomical structure development"
"Q17E44","aae-mir-34-5p"
"Q17E44","Anatomical structure development"
"Q17EB3","aae-mir-34-5p"
"Q17EB3","Anatomical structure development"
"Q17F07","aae-mir-34-5p"
"Q17F07","Anatomical structure development"
"Q17F08","aae-mir-34-5p"
"Q17F08","Anatomical structure development"
"Q17F71","aae-mir-34-5p"
"Q17F71","Anatomical structure development"
"Q17G69","aae-mir-34-5p"
"Q17G69","Anatomical structure development"
"Q17G70","aae-mir-34-5p"
"Q17G70","Anatomical structure development"
"Q17GF2","aae-mir-34-5p"
"Q17GF2","Anatomical structure development"
"Q17GP3","aae-mir-34-5p"
"Q17GP3","Anatomical structure development"
"Q17GP4","aae-mir-34-5p"
"Q17GP4","Anatomical structure development"
"Q17H75","aae-mir-34-5p"
"Q17H75","Anatomical structure development"
"Q17HP2","aae-mir-34-5p"
"Q17HP2","Anatomical structure development"
"Q17HS6","aae-mir-34-5p"
"Q17HS6","Anatomical structure development"
"Q17I67","aae-mir-34-5p"
"Q17I67","Anatomical structure development"
"Q17IC7","aae-mir-34-5p"
"Q17IC7","Anatomical structure development"
"Q17IK5","aae-mir-34-5p"
"Q17IK5","Anatomical structure development"
"Q17IL0","aae-mir-34-5p"
"Q17IL0","Anatomical structure development"
"Q17J33","aae-mir-34-5p"
"Q17J33","Anatomical structure development"
"Q17JY3","aae-mir-34-5p"
"Q17JY3","Anatomical structure development"
"Q17K58","aae-mir-34-5p"
"Q17K58","Anatomical structure development"
"Q17K67","aae-mir-34-5p"
"Q17K67","Anatomical structure development"
"Q17K68","aae-mir-34-5p"
"Q17K68","Anatomical structure development"
"Q17KU1","aae-mir-34-5p"
"Q17KU1","Anatomical structure development"
"Q17L13","aae-mir-34-5p"
"Q17L13","Anatomical structure development"
