"uniprot_id","enriched_term"
"Q16UC4","Anatomical structure development"
"Q16VM1","Anatomical structure development"
"Q16VP6","Anatomical structure development"
"Q16W03","Anatomical structure development"
"Q16WF1","Anatomical structure development"
"Q16WM1","Anatomical structure development"
"Q16WV5","Anatomical structure development"
"Q16XA3","Anatomical structure development"
"Q16XT3","Anatomical structure development"
"Q16Y82","Anatomical structure development"
"Q16YG3","Anatomical structure development"
"Q16YG5","Anatomical structure development"
"Q16YG8","Anatomical structure development"
"Q16YZ8","Anatomical structure development"
"Q16YZ9","Anatomical structure development"
"Q16Z01","Anatomical structure development"
"Q16ZB6","Anatomical structure development"
"Q170K4","Anatomical structure development"
"Q170K8","Anatomical structure development"
"Q170V1","Anatomical structure development"
"Q171J8","Anatomical structure development"
"Q172A6","Anatomical structure development"
"Q172L3","Anatomical structure development"
"Q173B0","Anatomical structure development"
"Q174K3","Anatomical structure development"
"Q174R8","Anatomical structure development"
"Q174R9","Anatomical structure development"
"Q174W8","Anatomical structure development"
"Q177R3","Anatomical structure development"
"Q177S2","Anatomical structure development"
"Q178N5","Anatomical structure development"
"Q178X8","Anatomical structure development"
"Q17A00","Anatomical structure development"
"Q17BK4","Anatomical structure development"
"Q17BN5","Anatomical structure development"
"Q17BY7","Anatomical structure development"
"Q17C29","Anatomical structure development"
"Q17C39","Anatomical structure development"
"Q17C93","Anatomical structure development"
"Q17CG1","Anatomical structure development"
"Q17D24","Anatomical structure development"
"Q17DB6","Anatomical structure development"
"Q17DL2","Anatomical structure development"
"Q17DM5","Anatomical structure development"
"Q17E44","Anatomical structure development"
"Q17EB3","Anatomical structure development"
"Q17EP7","Anatomical structure development"
"Q17F07","Anatomical structure development"
"Q17F08","Anatomical structure development"
"Q17F71","Anatomical structure development"
"Q17G69","Anatomical structure development"
"Q17G70","Anatomical structure development"
"Q17GF2","Anatomical structure development"
"Q17GI1","Anatomical structure development"
"Q17GP3","Anatomical structure development"
"Q17GP4","Anatomical structure development"
"Q17H75","Anatomical structure development"
"Q17HA9","Anatomical structure development"
"Q17HG6","Anatomical structure development"
"Q17HP2","Anatomical structure development"
"Q17HS6","Anatomical structure development"
"Q17I67","Anatomical structure development"
"Q17IA0","Anatomical structure development"
"Q17IC7","Anatomical structure development"
"Q17IK5","Anatomical structure development"
"Q17IL0","Anatomical structure development"
"Q17J33","Anatomical structure development"
"Q17JY3","Anatomical structure development"
"Q17K20","Anatomical structure development"
"Q17K58","Anatomical structure development"
"Q17K67","Anatomical structure development"
"Q17K68","Anatomical structure development"
"Q17KU1","Anatomical structure development"
"Q17L13","Anatomical structure development"
"Q17L66","Anatomical structure development"
"Q17L67","Anatomical structure development"
"Q17LA6","Anatomical structure development"
"Q17LI9","Anatomical structure development"
